S,I,D,R,steps
1.0,31.0,68.0,0.0,170.0
1.0,31.0,68.0,0.0,173.0
2.0,28.0,70.0,0.0,165.0
1.0,24.0,75.0,0.0,178.0
1.0,24.0,75.0,0.0,180.0
1.0,28.0,71.0,0.0,175.0
4.0,25.0,71.0,0.0,171.0
2.0,27.0,71.0,0.0,174.0
5.0,27.0,68.0,0.0,164.0
3.0,25.0,72.0,0.0,174.0
1.0,33.0,66.0,0.0,165.0
3.0,26.0,71.0,0.0,169.0
1.0,29.0,70.0,0.0,172.0
2.0,26.0,72.0,0.0,166.0
2.0,30.0,68.0,0.0,172.0
0.0,26.0,74.0,0.0,181.0
3.0,27.0,70.0,0.0,164.0
0.0,30.0,70.0,0.0,168.0
2.0,24.0,74.0,0.0,174.0
2.0,32.0,66.0,0.0,167.0
2.0,27.0,71.0,0.0,166.0
2.0,27.0,71.0,0.0,166.0
0.0,31.0,69.0,0.0,173.0
2.0,29.0,69.0,0.0,172.0
1.0,33.0,66.0,0.0,169.0
3.0,26.0,71.0,0.0,170.0
1.0,29.0,70.0,0.0,176.0
4.0,33.0,63.0,0.0,161.0
1.0,35.0,64.0,0.0,169.0
3.0,26.0,71.0,0.0,177.0
1.0,33.0,66.0,0.0,162.0
3.0,29.0,68.0,0.0,169.0
4.0,29.0,67.0,0.0,162.0
2.0,24.0,74.0,0.0,175.0
3.0,27.0,70.0,0.0,174.0
2.0,30.0,68.0,0.0,165.0
0.0,31.0,69.0,0.0,163.0
3.0,28.0,69.0,0.0,165.0
1.0,30.0,69.0,0.0,161.0
2.0,25.0,73.0,0.0,171.0
2.0,30.0,68.0,0.0,166.0
3.0,31.0,66.0,0.0,165.0
1.0,28.0,71.0,0.0,165.0
1.0,30.0,69.0,0.0,168.0
3.0,39.0,58.0,0.0,152.0
2.0,32.0,66.0,0.0,163.0
2.0,29.0,69.0,0.0,167.0
2.0,37.0,61.0,0.0,164.0
1.0,30.0,69.0,0.0,173.0
3.0,26.0,71.0,0.0,167.0
2.0,26.0,72.0,0.0,176.0
2.0,31.0,67.0,0.0,164.0
4.0,36.0,60.0,0.0,156.0
2.0,33.0,65.0,0.0,165.0
3.0,28.0,69.0,0.0,169.0
1.0,33.0,66.0,0.0,171.0
2.0,32.0,66.0,0.0,167.0
1.0,28.0,71.0,0.0,178.0
2.0,28.0,70.0,0.0,170.0
2.0,29.0,69.0,0.0,171.0
3.0,25.0,72.0,0.0,178.0
1.0,30.0,69.0,0.0,171.0
1.0,32.0,67.0,0.0,169.0
3.0,31.0,66.0,0.0,160.0
1.0,30.0,69.0,0.0,175.0
2.0,29.0,69.0,0.0,171.0
0.0,30.0,70.0,0.0,172.0
1.0,28.0,71.0,0.0,175.0
1.0,33.0,66.0,0.0,172.0
3.0,34.0,63.0,0.0,164.0
2.0,28.0,70.0,0.0,166.0
0.0,31.0,69.0,0.0,168.0
1.0,26.0,73.0,0.0,171.0
1.0,30.0,69.0,0.0,166.0
0.0,31.0,69.0,0.0,171.0
4.0,28.0,68.0,0.0,164.0
2.0,22.0,76.0,0.0,183.0
2.0,31.0,67.0,0.0,164.0
3.0,29.0,68.0,0.0,168.0
0.0,33.0,67.0,0.0,166.0
3.0,29.0,68.0,0.0,168.0
1.0,30.0,69.0,0.0,170.0
3.0,30.0,67.0,0.0,169.0
1.0,32.0,67.0,0.0,165.0
0.0,26.0,74.0,0.0,173.0
3.0,30.0,67.0,0.0,167.0
1.0,29.0,70.0,0.0,174.0
2.0,35.0,63.0,0.0,167.0
2.0,30.0,68.0,0.0,167.0
3.0,32.0,65.0,0.0,159.0
2.0,33.0,65.0,0.0,169.0
4.0,24.0,72.0,0.0,175.0
3.0,34.0,63.0,0.0,163.0
0.0,33.0,67.0,0.0,171.0
2.0,32.0,66.0,0.0,158.0
1.0,33.0,66.0,0.0,169.0
3.0,30.0,67.0,0.0,166.0
3.0,27.0,70.0,0.0,171.0
1.0,27.0,72.0,0.0,178.0
1.0,31.0,68.0,0.0,169.0
2.0,29.0,69.0,0.0,172.0
1.0,41.0,58.0,0.0,159.0
2.0,32.0,66.0,0.0,158.0
1.0,29.0,70.0,0.0,168.0
0.0,25.0,75.0,0.0,180.0
0.0,35.0,65.0,0.0,166.0
1.0,35.0,64.0,0.0,165.0
1.0,27.0,72.0,0.0,171.0
1.0,37.0,62.0,0.0,166.0
2.0,25.0,73.0,0.0,174.0
2.0,31.0,67.0,0.0,166.0
1.0,33.0,66.0,0.0,164.0
1.0,30.0,69.0,0.0,172.0
3.0,29.0,68.0,0.0,162.0
2.0,31.0,67.0,0.0,170.0
1.0,33.0,66.0,0.0,170.0
2.0,35.0,63.0,0.0,164.0
1.0,27.0,72.0,0.0,177.0
2.0,24.0,74.0,0.0,172.0
3.0,34.0,63.0,0.0,163.0
3.0,35.0,62.0,0.0,162.0
2.0,28.0,70.0,0.0,176.0
1.0,25.0,74.0,0.0,172.0
1.0,30.0,69.0,0.0,167.0
2.0,34.0,64.0,0.0,163.0
3.0,39.0,58.0,0.0,150.0
4.0,32.0,64.0,0.0,161.0
1.0,20.0,79.0,0.0,182.0
4.0,32.0,64.0,0.0,162.0
1.0,31.0,68.0,0.0,172.0
2.0,33.0,65.0,0.0,166.0
2.0,26.0,72.0,0.0,171.0
0.0,34.0,66.0,0.0,165.0
4.0,32.0,64.0,0.0,160.0
2.0,28.0,70.0,0.0,171.0
1.0,32.0,67.0,0.0,172.0
2.0,34.0,64.0,0.0,162.0
2.0,30.0,68.0,0.0,174.0
1.0,27.0,72.0,0.0,172.0
3.0,26.0,71.0,0.0,169.0
1.0,23.0,76.0,0.0,177.0
2.0,33.0,65.0,0.0,169.0
5.0,26.0,69.0,0.0,164.0
3.0,33.0,64.0,0.0,172.0
0.0,30.0,70.0,0.0,170.0
1.0,33.0,66.0,0.0,165.0
4.0,28.0,68.0,0.0,169.0
1.0,32.0,67.0,0.0,167.0
2.0,24.0,74.0,0.0,176.0
2.0,35.0,63.0,0.0,158.0
2.0,30.0,68.0,0.0,171.0
2.0,27.0,71.0,0.0,179.0
2.0,32.0,66.0,0.0,159.0
1.0,26.0,73.0,0.0,174.0
2.0,31.0,67.0,0.0,167.0
3.0,24.0,73.0,0.0,174.0
2.0,31.0,67.0,0.0,165.0
2.0,29.0,69.0,0.0,173.0
2.0,27.0,71.0,0.0,174.0
1.0,39.0,60.0,0.0,164.0
2.0,28.0,70.0,0.0,164.0
3.0,29.0,68.0,0.0,164.0
2.0,29.0,69.0,0.0,167.0
2.0,26.0,72.0,0.0,175.0
1.0,33.0,66.0,0.0,164.0
1.0,30.0,69.0,0.0,173.0
2.0,33.0,65.0,0.0,160.0
3.0,35.0,62.0,0.0,161.0
3.0,30.0,67.0,0.0,162.0
1.0,27.0,72.0,0.0,172.0
1.0,39.0,60.0,0.0,163.0
2.0,31.0,67.0,0.0,175.0
1.0,29.0,70.0,0.0,166.0
1.0,36.0,63.0,0.0,162.0
2.0,25.0,73.0,0.0,174.0
1.0,31.0,68.0,0.0,175.0
2.0,27.0,71.0,0.0,170.0
2.0,26.0,72.0,0.0,169.0
2.0,27.0,71.0,0.0,165.0
2.0,30.0,68.0,0.0,167.0
1.0,28.0,71.0,0.0,178.0
3.0,36.0,61.0,0.0,167.0
1.0,24.0,75.0,0.0,176.0
1.0,35.0,64.0,0.0,173.0
1.0,32.0,67.0,0.0,175.0
2.0,34.0,64.0,0.0,165.0
3.0,25.0,72.0,0.0,170.0
4.0,31.0,65.0,0.0,165.0
2.0,31.0,67.0,0.0,175.0
1.0,34.0,65.0,0.0,168.0
2.0,27.0,71.0,0.0,169.0
3.0,25.0,72.0,0.0,173.0
2.0,33.0,65.0,0.0,164.0
3.0,31.0,66.0,0.0,169.0
2.0,32.0,66.0,0.0,160.0
3.0,25.0,72.0,0.0,168.0
3.0,27.0,70.0,0.0,171.0
3.0,24.0,73.0,0.0,168.0
1.0,31.0,68.0,0.0,175.0
1.0,32.0,67.0,0.0,164.0
2.0,26.0,72.0,0.0,176.0
1.0,32.0,67.0,0.0,171.0
1.0,33.0,66.0,0.0,171.0
1.0,21.0,78.0,0.0,184.0
1.0,35.0,64.0,0.0,175.0
2.0,34.0,64.0,0.0,158.0
4.0,34.0,62.0,0.0,165.0
1.0,36.0,63.0,0.0,171.0
3.0,33.0,64.0,0.0,165.0
3.0,26.0,71.0,0.0,181.0
0.0,29.0,71.0,0.0,170.0
3.0,33.0,64.0,0.0,161.0
2.0,33.0,65.0,0.0,165.0
2.0,30.0,68.0,0.0,169.0
2.0,29.0,69.0,0.0,172.0
2.0,31.0,67.0,0.0,163.0
2.0,32.0,66.0,0.0,166.0
1.0,36.0,63.0,0.0,167.0
1.0,29.0,70.0,0.0,176.0
3.0,30.0,67.0,0.0,164.0
1.0,36.0,63.0,0.0,167.0
2.0,32.0,66.0,0.0,170.0
2.0,26.0,72.0,0.0,175.0
2.0,34.0,64.0,0.0,168.0
2.0,30.0,68.0,0.0,167.0
2.0,25.0,73.0,0.0,172.0
2.0,33.0,65.0,0.0,161.0
2.0,30.0,68.0,0.0,169.0
2.0,29.0,69.0,0.0,172.0
3.0,30.0,67.0,0.0,166.0
2.0,32.0,66.0,0.0,164.0
1.0,30.0,69.0,0.0,166.0
2.0,30.0,68.0,0.0,173.0
4.0,23.0,73.0,0.0,169.0
0.0,25.0,75.0,0.0,181.0
2.0,28.0,70.0,0.0,171.0
1.0,32.0,67.0,0.0,170.0
3.0,28.0,69.0,0.0,165.0
2.0,37.0,61.0,0.0,163.0
3.0,26.0,71.0,0.0,175.0
2.0,31.0,67.0,0.0,169.0
3.0,27.0,70.0,0.0,175.0
3.0,24.0,73.0,0.0,169.0
2.0,30.0,68.0,0.0,172.0
0.0,32.0,68.0,0.0,171.0
2.0,25.0,73.0,0.0,172.0
1.0,36.0,63.0,0.0,159.0
2.0,32.0,66.0,0.0,170.0
2.0,35.0,63.0,0.0,167.0
0.0,31.0,69.0,0.0,179.0
2.0,30.0,68.0,0.0,167.0
2.0,29.0,69.0,0.0,160.0
2.0,33.0,65.0,0.0,168.0
2.0,26.0,72.0,0.0,174.0
1.0,35.0,64.0,0.0,160.0
2.0,31.0,67.0,0.0,165.0
1.0,27.0,72.0,0.0,178.0
4.0,23.0,73.0,0.0,165.0
3.0,30.0,67.0,0.0,164.0
2.0,27.0,71.0,0.0,171.0
3.0,27.0,70.0,0.0,177.0
3.0,25.0,72.0,0.0,169.0
2.0,27.0,71.0,0.0,166.0
2.0,33.0,65.0,0.0,160.0
1.0,28.0,71.0,0.0,168.0
2.0,33.0,65.0,0.0,163.0
2.0,25.0,73.0,0.0,177.0
2.0,35.0,63.0,0.0,165.0
1.0,28.0,71.0,0.0,170.0
1.0,34.0,65.0,0.0,163.0
2.0,25.0,73.0,0.0,172.0
1.0,30.0,69.0,0.0,174.0
2.0,26.0,72.0,0.0,173.0
2.0,28.0,70.0,0.0,172.0
1.0,30.0,69.0,0.0,170.0
1.0,25.0,74.0,0.0,174.0
1.0,30.0,69.0,0.0,172.0
2.0,30.0,68.0,0.0,171.0
0.0,33.0,67.0,0.0,169.0
1.0,34.0,65.0,0.0,168.0
2.0,32.0,66.0,0.0,169.0
4.0,30.0,66.0,0.0,166.0
0.0,29.0,71.0,0.0,170.0
3.0,31.0,66.0,0.0,167.0
1.0,26.0,73.0,0.0,173.0
1.0,36.0,63.0,0.0,171.0
1.0,33.0,66.0,0.0,168.0
1.0,34.0,65.0,0.0,164.0
3.0,24.0,73.0,0.0,170.0
1.0,31.0,68.0,0.0,170.0
1.0,33.0,66.0,0.0,169.0
1.0,34.0,65.0,0.0,168.0
2.0,30.0,68.0,0.0,171.0
2.0,24.0,74.0,0.0,175.0
2.0,26.0,72.0,0.0,172.0
1.0,34.0,65.0,0.0,169.0
0.0,35.0,65.0,0.0,173.0
1.0,28.0,71.0,0.0,176.0
2.0,27.0,71.0,0.0,166.0
1.0,29.0,70.0,0.0,167.0
1.0,31.0,68.0,0.0,169.0
1.0,30.0,69.0,0.0,173.0
3.0,30.0,67.0,0.0,164.0
1.0,32.0,67.0,0.0,172.0
1.0,24.0,75.0,0.0,176.0
1.0,32.0,67.0,0.0,169.0
1.0,30.0,69.0,0.0,174.0
1.0,29.0,70.0,0.0,172.0
2.0,29.0,69.0,0.0,169.0
2.0,29.0,69.0,0.0,171.0
1.0,30.0,69.0,0.0,171.0
1.0,33.0,66.0,0.0,166.0
3.0,30.0,67.0,0.0,165.0
1.0,28.0,71.0,0.0,173.0
2.0,27.0,71.0,0.0,169.0
1.0,35.0,64.0,0.0,163.0
2.0,30.0,68.0,0.0,169.0
2.0,26.0,72.0,0.0,167.0
0.0,27.0,73.0,0.0,175.0
3.0,27.0,70.0,0.0,167.0
2.0,28.0,70.0,0.0,180.0
3.0,27.0,70.0,0.0,166.0
1.0,27.0,72.0,0.0,177.0
3.0,29.0,68.0,0.0,162.0
3.0,29.0,68.0,0.0,163.0
0.0,29.0,71.0,0.0,176.0
1.0,24.0,75.0,0.0,181.0
2.0,32.0,66.0,0.0,165.0
1.0,30.0,69.0,0.0,172.0
2.0,27.0,71.0,0.0,177.0
1.0,28.0,71.0,0.0,169.0
2.0,34.0,64.0,0.0,165.0
4.0,32.0,64.0,0.0,167.0
1.0,31.0,68.0,0.0,170.0
1.0,28.0,71.0,0.0,175.0
0.0,30.0,70.0,0.0,176.0
2.0,26.0,72.0,0.0,177.0
3.0,34.0,63.0,0.0,168.0
2.0,32.0,66.0,0.0,161.0
3.0,32.0,65.0,0.0,163.0
3.0,27.0,70.0,0.0,163.0
1.0,33.0,66.0,0.0,169.0
2.0,32.0,66.0,0.0,168.0
2.0,29.0,69.0,0.0,166.0
3.0,26.0,71.0,0.0,178.0
1.0,29.0,70.0,0.0,172.0
4.0,30.0,66.0,0.0,172.0
0.0,31.0,69.0,0.0,172.0
2.0,25.0,73.0,0.0,170.0
0.0,33.0,67.0,0.0,167.0
0.0,26.0,74.0,0.0,179.0
1.0,26.0,73.0,0.0,175.0
0.0,29.0,71.0,0.0,177.0
0.0,30.0,70.0,0.0,171.0
2.0,40.0,58.0,0.0,161.0
0.0,33.0,67.0,0.0,163.0
1.0,29.0,70.0,0.0,178.0
2.0,33.0,65.0,0.0,164.0
1.0,33.0,66.0,0.0,164.0
1.0,31.0,68.0,0.0,159.0
2.0,36.0,62.0,0.0,160.0
2.0,31.0,67.0,0.0,173.0
0.0,33.0,67.0,0.0,170.0
3.0,33.0,64.0,0.0,161.0
3.0,31.0,66.0,0.0,169.0
0.0,35.0,65.0,0.0,161.0
3.0,34.0,63.0,0.0,162.0
1.0,28.0,71.0,0.0,178.0
1.0,34.0,65.0,0.0,166.0
1.0,33.0,66.0,0.0,164.0
5.0,26.0,69.0,0.0,168.0
1.0,41.0,58.0,0.0,161.0
2.0,24.0,74.0,0.0,174.0
1.0,29.0,70.0,0.0,166.0
3.0,30.0,67.0,0.0,165.0
2.0,33.0,65.0,0.0,165.0
3.0,28.0,69.0,0.0,162.0
1.0,35.0,64.0,0.0,165.0
4.0,27.0,69.0,0.0,169.0
2.0,27.0,71.0,0.0,168.0
2.0,27.0,71.0,0.0,168.0
2.0,22.0,76.0,0.0,175.0
2.0,30.0,68.0,0.0,171.0
1.0,29.0,70.0,0.0,171.0
2.0,31.0,67.0,0.0,168.0
3.0,27.0,70.0,0.0,173.0
2.0,34.0,64.0,0.0,167.0
0.0,30.0,70.0,0.0,172.0
2.0,37.0,61.0,0.0,166.0
3.0,25.0,72.0,0.0,170.0
2.0,28.0,70.0,0.0,168.0
2.0,35.0,63.0,0.0,161.0
0.0,33.0,67.0,0.0,180.0
1.0,32.0,67.0,0.0,165.0
1.0,27.0,72.0,0.0,170.0
3.0,27.0,70.0,0.0,171.0
1.0,27.0,72.0,0.0,174.0
2.0,35.0,63.0,0.0,164.0
0.0,26.0,74.0,0.0,178.0
3.0,31.0,66.0,0.0,164.0
0.0,31.0,69.0,0.0,170.0
1.0,27.0,72.0,0.0,171.0
2.0,30.0,68.0,0.0,163.0
3.0,28.0,69.0,0.0,173.0
1.0,30.0,69.0,0.0,173.0
2.0,33.0,65.0,0.0,164.0
2.0,33.0,65.0,0.0,162.0
2.0,26.0,72.0,0.0,172.0
3.0,34.0,63.0,0.0,164.0
2.0,29.0,69.0,0.0,167.0
3.0,30.0,67.0,0.0,167.0
1.0,37.0,62.0,0.0,170.0
2.0,27.0,71.0,0.0,170.0
1.0,28.0,71.0,0.0,172.0
0.0,37.0,63.0,0.0,164.0
0.0,30.0,70.0,0.0,170.0
0.0,29.0,71.0,0.0,170.0
2.0,32.0,66.0,0.0,163.0
1.0,29.0,70.0,0.0,171.0
2.0,27.0,71.0,0.0,175.0
0.0,26.0,74.0,0.0,174.0
1.0,29.0,70.0,0.0,166.0
3.0,27.0,70.0,0.0,173.0
2.0,24.0,74.0,0.0,174.0
1.0,35.0,64.0,0.0,163.0
1.0,29.0,70.0,0.0,172.0
1.0,32.0,67.0,0.0,166.0
1.0,31.0,68.0,0.0,168.0
4.0,35.0,61.0,0.0,155.0
1.0,31.0,68.0,0.0,170.0
1.0,30.0,69.0,0.0,167.0
4.0,28.0,68.0,0.0,164.0
2.0,29.0,69.0,0.0,172.0
2.0,33.0,65.0,0.0,162.0
1.0,27.0,72.0,0.0,178.0
2.0,27.0,71.0,0.0,166.0
0.0,30.0,70.0,0.0,170.0
2.0,31.0,67.0,0.0,164.0
2.0,27.0,71.0,0.0,173.0
0.0,32.0,68.0,0.0,169.0
3.0,27.0,70.0,0.0,169.0
4.0,29.0,67.0,0.0,163.0
2.0,34.0,64.0,0.0,162.0
2.0,31.0,67.0,0.0,168.0
1.0,36.0,63.0,0.0,167.0
2.0,26.0,72.0,0.0,168.0
1.0,28.0,71.0,0.0,169.0
0.0,32.0,68.0,0.0,165.0
0.0,32.0,68.0,0.0,171.0
1.0,27.0,72.0,0.0,173.0
3.0,28.0,69.0,0.0,165.0
1.0,27.0,72.0,0.0,170.0
2.0,23.0,75.0,0.0,174.0
1.0,28.0,71.0,0.0,173.0
2.0,33.0,65.0,0.0,161.0
3.0,30.0,67.0,0.0,174.0
3.0,22.0,75.0,0.0,173.0
0.0,18.0,82.0,0.0,184.0
1.0,35.0,64.0,0.0,166.0
1.0,32.0,67.0,0.0,173.0
3.0,30.0,67.0,0.0,168.0
4.0,28.0,68.0,0.0,173.0
4.0,30.0,66.0,0.0,161.0
3.0,30.0,67.0,0.0,171.0
1.0,28.0,71.0,0.0,169.0
1.0,28.0,71.0,0.0,171.0
2.0,28.0,70.0,0.0,171.0
2.0,33.0,65.0,0.0,176.0
0.0,26.0,74.0,0.0,181.0
1.0,28.0,71.0,0.0,177.0
4.0,30.0,66.0,0.0,163.0
3.0,29.0,68.0,0.0,164.0
3.0,29.0,68.0,0.0,164.0
1.0,25.0,74.0,0.0,180.0
1.0,25.0,74.0,0.0,176.0
1.0,31.0,68.0,0.0,170.0
1.0,23.0,76.0,0.0,180.0
2.0,31.0,67.0,0.0,170.0
3.0,33.0,64.0,0.0,160.0
2.0,28.0,70.0,0.0,173.0
1.0,30.0,69.0,0.0,177.0
2.0,30.0,68.0,0.0,171.0
2.0,28.0,70.0,0.0,177.0
1.0,29.0,70.0,0.0,168.0
3.0,26.0,71.0,0.0,173.0
2.0,32.0,66.0,0.0,171.0
3.0,30.0,67.0,0.0,168.0
2.0,32.0,66.0,0.0,163.0
1.0,27.0,72.0,0.0,169.0
1.0,26.0,73.0,0.0,175.0
1.0,31.0,68.0,0.0,168.0
3.0,28.0,69.0,0.0,170.0
0.0,32.0,68.0,0.0,167.0
3.0,28.0,69.0,0.0,172.0
2.0,32.0,66.0,0.0,157.0
2.0,29.0,69.0,0.0,169.0
3.0,24.0,73.0,0.0,175.0
2.0,28.0,70.0,0.0,168.0
1.0,34.0,65.0,0.0,167.0
2.0,24.0,74.0,0.0,174.0
1.0,34.0,65.0,0.0,166.0
4.0,34.0,62.0,0.0,157.0
2.0,27.0,71.0,0.0,163.0
2.0,32.0,66.0,0.0,167.0
1.0,34.0,65.0,0.0,165.0
3.0,36.0,61.0,0.0,159.0
2.0,31.0,67.0,0.0,171.0
4.0,34.0,62.0,0.0,164.0
2.0,31.0,67.0,0.0,173.0
2.0,25.0,73.0,0.0,181.0
2.0,31.0,67.0,0.0,163.0
2.0,27.0,71.0,0.0,172.0
3.0,28.0,69.0,0.0,167.0
2.0,26.0,72.0,0.0,173.0
3.0,24.0,73.0,0.0,173.0
2.0,26.0,72.0,0.0,179.0
1.0,37.0,62.0,0.0,157.0
2.0,25.0,73.0,0.0,175.0
3.0,27.0,70.0,0.0,173.0
2.0,36.0,62.0,0.0,162.0
3.0,31.0,66.0,0.0,169.0
0.0,31.0,69.0,0.0,172.0
1.0,34.0,65.0,0.0,164.0
1.0,33.0,66.0,0.0,165.0
2.0,31.0,67.0,0.0,167.0
2.0,30.0,68.0,0.0,168.0
2.0,25.0,73.0,0.0,170.0
4.0,29.0,67.0,0.0,162.0
3.0,30.0,67.0,0.0,164.0
1.0,31.0,68.0,0.0,173.0
2.0,27.0,71.0,0.0,172.0
2.0,33.0,65.0,0.0,169.0
3.0,31.0,66.0,0.0,165.0
1.0,29.0,70.0,0.0,165.0
0.0,28.0,72.0,0.0,170.0
1.0,33.0,66.0,0.0,169.0
2.0,38.0,60.0,0.0,158.0
1.0,27.0,72.0,0.0,170.0
2.0,36.0,62.0,0.0,160.0
4.0,33.0,63.0,0.0,163.0
1.0,30.0,69.0,0.0,166.0
1.0,28.0,71.0,0.0,164.0
2.0,24.0,74.0,0.0,174.0
0.0,23.0,77.0,0.0,175.0
2.0,31.0,67.0,0.0,164.0
3.0,33.0,64.0,0.0,173.0
1.0,35.0,64.0,0.0,157.0
2.0,31.0,67.0,0.0,175.0
1.0,27.0,72.0,0.0,172.0
2.0,34.0,64.0,0.0,162.0
1.0,29.0,70.0,0.0,173.0
2.0,34.0,64.0,0.0,161.0
2.0,31.0,67.0,0.0,165.0
1.0,29.0,70.0,0.0,166.0
0.0,28.0,72.0,0.0,170.0
2.0,32.0,66.0,0.0,161.0
1.0,30.0,69.0,0.0,165.0
1.0,33.0,66.0,0.0,172.0
1.0,33.0,66.0,0.0,165.0
3.0,30.0,67.0,0.0,169.0
4.0,25.0,71.0,0.0,171.0
3.0,27.0,70.0,0.0,177.0
2.0,28.0,70.0,0.0,176.0
4.0,24.0,72.0,0.0,165.0
1.0,27.0,72.0,0.0,175.0
1.0,32.0,67.0,0.0,170.0
0.0,36.0,64.0,0.0,168.0
2.0,32.0,66.0,0.0,170.0
1.0,32.0,67.0,0.0,167.0
2.0,28.0,70.0,0.0,175.0
1.0,32.0,67.0,0.0,173.0
2.0,24.0,74.0,0.0,179.0
2.0,30.0,68.0,0.0,168.0
3.0,30.0,67.0,0.0,169.0
3.0,33.0,64.0,0.0,162.0
4.0,25.0,71.0,0.0,167.0
3.0,29.0,68.0,0.0,167.0
1.0,29.0,70.0,0.0,170.0
2.0,32.0,66.0,0.0,161.0
1.0,29.0,70.0,0.0,165.0
2.0,24.0,74.0,0.0,180.0
1.0,33.0,66.0,0.0,168.0
2.0,28.0,70.0,0.0,169.0
3.0,27.0,70.0,0.0,170.0
1.0,29.0,70.0,0.0,174.0
3.0,27.0,70.0,0.0,173.0
2.0,31.0,67.0,0.0,165.0
1.0,25.0,74.0,0.0,169.0
4.0,26.0,70.0,0.0,170.0
2.0,32.0,66.0,0.0,168.0
3.0,24.0,73.0,0.0,173.0
1.0,28.0,71.0,0.0,173.0
0.0,36.0,64.0,0.0,164.0
3.0,28.0,69.0,0.0,169.0
0.0,25.0,75.0,0.0,177.0
1.0,33.0,66.0,0.0,170.0
2.0,28.0,70.0,0.0,164.0
2.0,30.0,68.0,0.0,170.0
3.0,31.0,66.0,0.0,166.0
3.0,27.0,70.0,0.0,163.0
2.0,30.0,68.0,0.0,171.0
4.0,31.0,65.0,0.0,162.0
3.0,32.0,65.0,0.0,166.0
2.0,34.0,64.0,0.0,165.0
3.0,28.0,69.0,0.0,166.0
3.0,27.0,70.0,0.0,167.0
3.0,27.0,70.0,0.0,166.0
3.0,30.0,67.0,0.0,168.0
1.0,28.0,71.0,0.0,171.0
1.0,33.0,66.0,0.0,165.0
0.0,28.0,72.0,0.0,170.0
1.0,35.0,64.0,0.0,163.0
2.0,28.0,70.0,0.0,166.0
0.0,27.0,73.0,0.0,173.0
3.0,36.0,61.0,0.0,165.0
2.0,33.0,65.0,0.0,169.0
2.0,29.0,69.0,0.0,172.0
1.0,36.0,63.0,0.0,158.0
2.0,29.0,69.0,0.0,163.0
2.0,32.0,66.0,0.0,168.0
1.0,31.0,68.0,0.0,170.0
2.0,26.0,72.0,0.0,180.0
2.0,28.0,70.0,0.0,169.0
1.0,30.0,69.0,0.0,168.0
2.0,30.0,68.0,0.0,166.0
4.0,18.0,78.0,0.0,179.0
1.0,27.0,72.0,0.0,176.0
1.0,31.0,68.0,0.0,170.0
3.0,23.0,74.0,0.0,167.0
2.0,30.0,68.0,0.0,164.0
3.0,31.0,66.0,0.0,176.0
2.0,29.0,69.0,0.0,168.0
2.0,24.0,74.0,0.0,170.0
1.0,29.0,70.0,0.0,168.0
0.0,35.0,65.0,0.0,166.0
2.0,30.0,68.0,0.0,171.0
1.0,31.0,68.0,0.0,170.0
1.0,21.0,78.0,0.0,181.0
1.0,31.0,68.0,0.0,168.0
1.0,27.0,72.0,0.0,167.0
3.0,34.0,63.0,0.0,164.0
2.0,27.0,71.0,0.0,173.0
1.0,28.0,71.0,0.0,173.0
1.0,31.0,68.0,0.0,176.0
3.0,25.0,72.0,0.0,177.0
5.0,29.0,66.0,0.0,167.0
2.0,29.0,69.0,0.0,167.0
3.0,31.0,66.0,0.0,170.0
1.0,31.0,68.0,0.0,163.0
3.0,24.0,73.0,0.0,172.0
1.0,23.0,76.0,0.0,176.0
4.0,26.0,70.0,0.0,168.0
2.0,29.0,69.0,0.0,163.0
0.0,28.0,72.0,0.0,171.0
1.0,37.0,62.0,0.0,168.0
3.0,29.0,68.0,0.0,171.0
1.0,28.0,71.0,0.0,172.0
1.0,31.0,68.0,0.0,166.0
4.0,26.0,70.0,0.0,168.0
3.0,34.0,63.0,0.0,163.0
2.0,32.0,66.0,0.0,171.0
3.0,30.0,67.0,0.0,169.0
3.0,28.0,69.0,0.0,165.0
1.0,37.0,62.0,0.0,163.0
2.0,31.0,67.0,0.0,162.0
3.0,30.0,67.0,0.0,170.0
2.0,31.0,67.0,0.0,178.0
4.0,30.0,66.0,0.0,158.0
1.0,33.0,66.0,0.0,174.0
2.0,27.0,71.0,0.0,174.0
0.0,33.0,67.0,0.0,174.0
2.0,29.0,69.0,0.0,173.0
1.0,33.0,66.0,0.0,165.0
1.0,33.0,66.0,0.0,167.0
0.0,28.0,72.0,0.0,180.0
1.0,30.0,69.0,0.0,170.0
0.0,28.0,72.0,0.0,171.0
3.0,34.0,63.0,0.0,160.0
2.0,27.0,71.0,0.0,169.0
2.0,28.0,70.0,0.0,167.0
2.0,28.0,70.0,0.0,168.0
1.0,34.0,65.0,0.0,165.0
2.0,31.0,67.0,0.0,171.0
2.0,33.0,65.0,0.0,167.0
2.0,27.0,71.0,0.0,165.0
2.0,27.0,71.0,0.0,171.0
4.0,28.0,68.0,0.0,167.0
2.0,26.0,72.0,0.0,177.0
2.0,33.0,65.0,0.0,161.0
2.0,33.0,65.0,0.0,163.0
0.0,29.0,71.0,0.0,172.0
2.0,38.0,60.0,0.0,158.0
2.0,35.0,63.0,0.0,171.0
1.0,30.0,69.0,0.0,171.0
3.0,26.0,71.0,0.0,168.0
2.0,24.0,74.0,0.0,174.0
3.0,31.0,66.0,0.0,164.0
1.0,31.0,68.0,0.0,171.0
3.0,27.0,70.0,0.0,181.0
